EIN,Charity Name,Outstanding,Acceptable,Unacceptable
01-0424969,Community Concepts Incorporated,1,8,1
02-0347918,Lakes Region Conservation Trust,2,8,1
02-0451944,Loon Preservation Committee,1,8,2
02-0475057,Moultonborough Historical Society Inc,0,11,1
03-0362954,Pure Water For The World Inc,1,2,2
04-2103547,Trustees Of Boston University,2,9,2
04-2103552,Brandeis University,2,8,1
04-2103559,Combined Jewish Philanthropies Of Greater Boston Inc,2,8,1
04-2103580,President And Fellows Of Harvard College,2,8,1
04-2103597,Massachusetts Society For The Prevention Of Cruelty To Animals,2,8,1
04-2103607,Museum Of Fine Arts,2,9,0
04-2103634,Trustees Of Tufts College,2,8,1
04-2103714,Animal Rescue League Of Boston,2,9,0
04-2104021,Boston Foundation Inc,2,8,1
04-2104057,Bridges Homeward Inc,3,8,0
04-2104327,Institute Of Contemporary Art,2,9,0
04-2104397,Wgbh Educational Foundation,2,9,0
04-2104702,Massachusetts Audubon Society Inc,2,8,1
04-2104937,Society For The Preservation Of New England Antiquities Inc,1,10,0
04-2105780,Trustees Of Reservations,3,11,1
04-2105825,West End House Inc,2,7,2
04-2105893,Nurtury Inc,2,8,0
04-2126598,Handel And Haydn Society,2,9,0
04-2263040,Dana Farber Cancer Institute,2,8,1
04-2297106,Unknown,0,1,2
04-2383512,Uncornered Inc,4,9,1
04-2457605,Philanthropy Massachusetts Inc,2,8,1
04-2582187,Rosies Place Inc,3,8,0
04-2598317,Kerem Shalom Inc,2,6,3
04-2609422,Boston Celebrations Inc,2,8,1
04-2630584,Youth Villages   Germaine Lawrence Inc,0,2,2
04-2652021,The Nature Connection Inc,3,6,1
04-2717782,The Greater Boston Food Bank Inc,2,8,0
04-2730069,Schools For Children Inc,2,8,1
04-2731195,Boston Globe Foundation Inc,3,7,1
04-2777819,Unknown,0,1,2
04-2791314,Green Energy Consumers Alliance Inc,3,7,1
04-2859066,Dudley Street Neighborhood Initiative Inc,3,8,0
04-2931195,Project Bread   The Walk For Hunger Inc,3,8,0
04-2944144,Housing Corporation Of Arlington,4,7,0
04-2983365,Bread & Roses Housing Inc,1,2,2
04-3007211,Vietnam Veterans Workshop Inc,3,8,0
04-3034682,Arlington Center For The Arts Inc,3,8,0
04-3050593,English At Large Inc,3,7,0
04-3091431,Electronic Frontier Foundation Inc,1,8,1
04-3109546,Vilna Shul Boston Center For Jewish Culture Inc,3,8,0
04-3118233,Unknown Organization,0,1,2
04-3129124,Commonwealth Zoological Corporation,4,10,0
04-3145322,Temple Shirtikvah Inc Of Winchester,2,6,3
04-3167352,University Of Massachusetts,0,1,2
04-3184824,Bay Cove Woodward Park Residence Inc,4,6,1
04-3255365,47 Palmer Inc,5,8,2
04-3481253,Reach Out And Read Inc,2,9,0
04-3486255,Arlington Land Trust Inc,3,9,2
04-3494246,Gateways Access To Jewish Education Inc,3,7,1
04-3555864,Accelerated Cure Project Inc,2,8,1
04-3557377,Arlington Schools Foundation Inc,3,8,0
04-3567502,Partners In Health A Nonprofit Corporation,7,8,0
04-6001070,Unknown,0,1,2
04-6013152,University Of Massachusetts Foundation Inc,2,9,0
06-0726487,Save The Children Federation Inc,1,9,1
06-1816720,Common Ground Relief,1,9,1
11-3179166,Brooklyn Animal Resources Coalition Inc,2,9,0
11-3533002,Friends Of United Hatzalah Inc,1,10,0
11-6107128,Environmental Defense Fund Incorporated,1,9,1
13-1624241,United Negro College Fund Inc,1,10,0
13-1644147,Planned Parenthood Federation Of America,3,10,2
13-1656653,Fresh Air Fund,1,9,1
13-1685039,Cooperative For Assistance And Relief Everywhere Inc,1,8,2
13-1930176,The World Union For Progressive Judaism Ltd,1,7,3
13-1930701,Cystic Fibrosis Foundation,1,8,2
13-1947735,Society Of Women Engineers,1,9,1
13-2500888,Jewish Reconstructionist Federation N Y,1,6,4
13-3281486,Galapagos Conservancy Inc,1,9,0
13-3433452,Medecins Sans Frontieres Usa Inc,3,10,2
13-3475390,Lower East Side Tenement Museum,1,10,0
13-3573852,Hispanic Federation Inc,1,10,0
13-4129457,Donorschoose Org,1,10,0
13-5660870,International Rescue Committee Inc,5,9,1
13-6213516,American Civil Liberties Union Foundation Inc,2,9,0
14-1892866,Science Club For Girls Inc,3,8,0
14-2007220,Pro Publica Inc,0,11,0
20-0049703,Wikimedia Foundation Org,1,9,1
20-0636360,Outreach Inc,2,7,2
20-1173824,St Baldricks Foundation Inc,1,8,2
20-2233057,Open Source Media Inc,2,8,1
20-2329938,Autism Speaks Inc,0,10,1
20-4090359,Arlington Libraries Foundation Inc,2,7,1
22-2406433,Salvation Army National Corp,1,7,3
22-2481283,Friends Of The Robbins Library,3,6,1
22-2481699,Neighbors In Need Inc,4,7,0
22-2528043,Center Harbor Christian Church,1,7,3
22-2599662,Massachusetts Coalition For The Homeless Inc,4,7,0
22-2659560,Huntington Theatre Company Inc,2,9,0
22-2795466,Geneva Point Center Inc,2,7,1
22-2868513,Second Step Inc,3,7,0
22-2901832,Unknown Organization,1,2,2
22-2915188,Horizons For Homeless Children Inc,3,8,0
22-3154028,Community Servings Inc,3,8,0
22-3252651,Mission Of Deeds Inc,4,7,0
22-6057081,Temple Sinai,1,6,4
23-1907729,Breakthrough T1 D,1,9,1
23-7069110,Oxfam America Inc,2,8,1
23-7091199,The Rotary Club Of Miami Florida Foundation Inc,2,6,2
23-7121174,Just A Start Inc,2,9,0
23-7160400,Greater Houston Community Foundation,0,9,2
23-7188767,National Ghost Ranch Foundation Inc,1,8,2
23-7221094,Mystic River Watershed Association Inc,2,8,1
23-7312949,American Civil Liberties Union Foundation Of Massachusetts,3,10,1
23-7447812,Meals On Wheels America,2,7,2
26-1544963,Khan Academy Inc,0,10,1
26-2740895,88 Bikes,2,8,1
26-3409084,Wright Locke Farm Conservancy Inc,2,8,1
27-0085747,Castle Preservation Society,1,9,1
27-1661997,Givedirectly Inc,1,10,0
27-3521132,World Central Kitchen Incorporated,0,10,1
27-3671122,Lexington Community Farm Coalition Inc,3,7,1
27-5127482,Hestia Fund,2,9,3
30-0040446,Ruby Central Inc,2,7,2
30-0307254,Second Chances Inc,4,7,0
30-0627106,We Care Solar,1,9,1
31-1640316,Donor Advised Charitable Giving,1,8,2
33-0843213,Developments In Literacy Inc,2,8,1
35-1019477,Heifer Project International,1,8,2
35-1410757,National Society Of Black Engineers,1,8,2
36-2136497,Bulletin Of The Atomic Scientists,2,6,2
36-4743975,Lakes Region Food Pantry,2,9,0
41-2203632,Software Freedom Conservancy Inc,1,9,1
44-0659517,People To People International,1,2,2
45-2405071,Focusing Philanthropy Inc,0,9,2
45-2947589,Weema International Inc,3,8,0
45-5118370,City Strings Inc,2,9,0
45-5257937,Center For Disaster Philanthropy Inc,0,11,0
46-0665444,Philanthropy Connection Inc,2,8,1
46-2547157,Unknown Organization,0,3,2
46-4377279,Barbershop Books Inc,1,10,0
46-4638549,Giffords Law Center To Prevent Gun Violence,1,9,1
46-5327936,Boston Food Forest Coalition,2,8,0
47-1442997,Medical Debt Resolution Inc,1,10,0
47-3686152,Aclu Foundation Of Massachusetts Inc,2,9,0
47-4506704,Friends Of The Robbins Town Gardens Inc,1,8,3
47-5005730,Arlington Eats Inc,3,8,0
51-0183474,Northeast Animal Shelter Inc,0,3,2
51-0376237,Central Asia Institute,2,7,2
51-0399261,Center For The Study Of Technology & Society Inc,2,8,1
51-6000297,University Of Delaware,1,9,3
52-0882226,American Near East Refugee Aid Inc,1,9,1
52-0976257,Reading Is Fundamental Inc,1,10,0
52-1086761,National Park Foundation,1,11,1
52-1573446,American Indian College Fund,1,9,1
52-1693387,World Wildlife Fund Inc,1,9,1
52-1779606,First Book,1,10,0
52-1838756,Women For Women International,1,9,1
52-1915038,Potters House Church Inc,1,7,4
52-1970904,Kaboom Inc,1,8,2
52-2289435,Nuclear Threat Initiative Inc,1,9,1
52-6001143,Enoch Pratt Free Library Of Baltimore City,1,9,1
53-0210807,National Trust For Historic Preservation In The United States,1,10,0
53-0225165,National Parks Conservation Association,1,9,1
53-0242652,Nature Conservancy,1,8,1
54-0505870,Boys Home Incorporated,2,8,3
54-1512177,Center For Public Integrity,2,8,1
54-2143612,Homes For Our Troops Inc,3,8,0
55-0854287,Arlington Health & Human Services Charitable Corporation,3,8,0
56-2384970,Beyond The 11 Th Incorporated,3,9,2
57-1116978,Water Missions International,1,8,2
58-1647546,Remote Area Medical,0,9,2
58-1852059,The Fuller Center For Housing Inc,0,9,2
58-2106707,National Foundation For The Ctrs For Disease Contr & Prevention Inc,1,9,1
58-2368165,United Nations Foundation Inc,1,9,1
63-0598743,Southern Poverty Law Center Inc,1,8,2
71-0992446,Kiva Microfunds,0,9,2
71-1000061,Massachusetts Peace Action Education Fund,2,8,1
72-0956468,Second Harvest Food Bank Of Greater New Orleans And Acadiana,2,8,1
74-1152529,Annunciation House Inc,0,6,4
74-1995879,Oficina Legal Del Pueblo Unido Inc,1,8,1
74-2886380,Texas Diaper Bank,2,8,1
75-1835298,Susan G Komen Breast Cancer Foundation,1,7,3
77-0547201,The Fistula Foundation,2,8,1
80-0297898,Rar Ma Inc,2,9,0
80-0951255,First Look Institute Inc,0,9,2
81-4739107,International Consortium Of Investigative Journalists Inc,0,10,1
81-4798325,Israel Magen Fund Inc,2,8,1
81-4999393,Family Health Project Inc,3,8,0
