GRANT HISTORY

Giving Account,Iguana Fund

Timeframe:,01/01/2025 to 12/27/2025

As of:,12/27/2025 9:08 AM ET

"Submit Date","Approved Date",Organization,Address,"Contact Name","Tax ID","Charitable Sector",Amount,Status,Recurring,"Check Number",Designation,Acknowledgement,"NPO Current Secondary Name"
12/22/2025,12/22/2025,"FRESH AIR FUND","633 3RD AVE FL 14
NEW YORK NY 10017-8152",,13-1656653,"Human Services","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito  and Christine Salas
12 Intervale Road
Arlington MA 02474",
12/22/2025,12/22/2025,"MEDECINS SANS FRONTIERES USA INC","DOCTORS WITHOUT BORDERS USA INC
40 RECTOR ST FL 16
NEW YORK NY 10006-1751",,13-3433452,"International Affairs","$2,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito and Christine Salas
12 Intervale Road
Arlington MA 02474","DOCTORS WITHOUT BORDERS USA INC"
12/22/2025,12/22/2025,"PARTNERS IN HEALTH A NONPROFIT CORPORATION","800 BOYLSTON ST STE 300
BOSTON MA 02199-7032",,04-3567502,Health,"$2,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito  and Christine Salas
12 Intervale Road
Arlington MA 02474",
12/19/2025,12/19/2025,"NEIGHBORS IN NEED INC","PO BOX 447
LAWRENCE MA 01842-0947",,22-2481699,"Human Services","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474",
12/18/2025,12/18/2025,"NURTURY INC","2201 WASHINGTON ST STE 306
ROXBURY MA 02119-3212",,04-2105893,"Human Services","$2,000.00","EFT received","annually through indefinitely ",,"To support family childcare providers and their needs.","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
12/17/2025,12/17/2025,"WORLD CENTRAL KITCHEN INCORPORATED","200 MASSACHUSETTS AVE NW # 7
WASHINGTON DC 20001-1429",,27-3521132,"International Affairs","$1,000.00","EFT received","semi-annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris and R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/17/2025,12/17/2025,"BULLETIN OF THE ATOMIC SCIENTISTS","PO BOX 15461
CHICAGO IL 60615-5146",,36-2136497,"Society Benefit","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/17/2025,12/17/2025,"NUCLEAR THREAT INITIATIVE INC","1776 EYE ST NW STE 600
WASHINGTON DC 20006-3765",,52-2289435,"International Affairs","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/10/2025,12/11/2025,"47 PALMER INC","47 PALMER INC
PASSIM
26 CHURCH ST STE 300
CAMBRIDGE MA 02138-3708","Dan Hogan",04-3255365,"Arts and Culture","$40,000.00","EFT received",,,"This is to fund the Passim's 2025 Iguana Grant Program","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",PASSIM
12/10/2025,12/10/2025,"UNCORNERED INC","222 BOWDOIN ST
DORCHESTER MA 02122-1842",,04-2383512,"Human Services","$800.00","EFT received","annually through indefinitely ",,"To support your ""Uncornered"" program which we think is amazing and very worthwhile!","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/08/2025,,"BREAD & ROSES HOUSING INC","15 UNION ST STE 401
LAWRENCE MA 01840-1924",,04-2983365,"Human Services","$500.00","Not approved","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris and Pito Salas
12 Intervale Road
Arlington MA 02474",
12/08/2025,12/08/2025,"MUSEUM OF NEW MEXICO FOUNDATION","1411 PASEO DE PERALTA
SANTA FE NM 87501-4326",,85-0202503,"Arts and Culture","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund",
12/08/2025,12/08/2025,"PRO PUBLICA INC","PRO PUBLICA NATIONAL OFFICE
155 AVE AMERICA 13 FL
NEW YORK NY 10013-0000",,14-2007220,"Arts and Culture","$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","PRO PUBLICA NATIONAL OFFICE"
12/08/2025,12/08/2025,"ARLINGTON LIBRARIES FOUNDATION INC","ARLINGTON LIBRARIES FOUNDATION INC
700 Massachusetts Avenue
Arlington MA 02476","KATHRYN GANDEK-TIGHE",20-4090359,"Society Benefit","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/02/2025,12/02/2025,"YOURARLINGTON-ORG INC","PO BOX 89
ARLINGTON MA 02476-0001",,87-1248884,Other,"$250.00","Check deposited",,16115655,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/02/2025,12/02/2025,"WOMEN FOR WOMEN INTERNATIONAL","PO BOX 9224
CENTRAL ISLIP NY 11722-9224",,52-1838756,"International Affairs","$3,000.00","EFT received",,,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/02/2025,12/02/2025,"THE CENTER FOR INVESTIGATIVE REPORTING","THE CENTER FOR INVESTIGATIVE REPORT
222 SUTTER ST STE 600
SAN FRANCISCO CA 94108-4457",,94-2282759,"Society Benefit","$250.00","EFT received",,,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","THE CENTER FOR INVESTIGATIVE REPORT"
12/02/2025,12/02/2025,"GIFFORDS LAW CENTER TO PREVENT GUN VIOLENCE","COURAGE TO FIGHT GUN VIOLENCE
268 BUSH STREET 555
SAN FRANCISCO CA 94104-3503",,46-4638549,"Society Benefit","$250.00","EFT received",,,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","COURAGE TO FIGHT GUN VIOLENCE"
12/02/2025,12/02/2025,"INTERCEPT MEDIA INC","P.O. Box 9201
NEW YORK NY 10008-9201",,92-1198452,"Arts and Culture","$250.00","EFT received",,,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/02/2025,12/02/2025,"SPEAK EASY STAGE INC","SPEAKEASY STAGE COMPANY
539 TREMONT ST
BOSTON MA 02116-6306",,22-3230841,"Arts and Culture","$250.00","EFT received",,,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","SPEAKEASY STAGE COMPANY"
12/02/2025,12/02/2025,"TRUSTEES OF TUFTS COLLEGE","FRIEDMAN SCHOOL OF NUTRITION SCIENCE AND POLICY
150 HARRISON AVE
BOSTON MA 02111-1836",,04-2103634,Education,"$250.00","EFT received",,,"Designated for the Tufts Friedman School, to further it's educational and public outreach mission.","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474","TUFTS UNIVERSITY"
12/02/2025,12/02/2025,"WOMENS FOUNDATION OF MASSACHUSETTS INC","WOMENS FOUNDATION OF MASSACHUSETTS
292 NEWBURY ST STE 175
BOSTON MA 02115-2863",,81-5063201,"Society Benefit","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Chris Salas
12 Intervale Road
Arlington MA 02474","WOMENS FOUNDATION OF MASSACHUSETTS"
12/01/2025,12/01/2025,"ARLINGTON EATS INC","117 Broadway
Arlington MA 02474",,47-5005730,"Human Services","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Mr. R. Pito Salas
12 Intervale Road
Arlington MA 02474",
12/01/2025,12/01/2025,"LOON PRESERVATION COMMITTEE","PO BOX 604
MOULTONBOROUGH NH 03254-0604",,02-0451944,"Arts and Culture","$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito and Christine Salas
12 Intervale Road
Arlington MA 02474",
12/01/2025,12/01/2025,"TRUSTEES OF TUFTS COLLEGE","FRIEDMAN SCHOOL OF NUTRITION SCIENCE AND POLICY
150 HARRISON AVE
BOSTON MA 02111-1836",,04-2103634,Education,"$1,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Christine Salas
12 Intervale Road
Arlington MA 02474","TUFTS UNIVERSITY"
12/01/2025,12/01/2025,"UNIVERSITY OF DELAWARE","83 E MAIN ST FL 3
NEWARK DE 19716-0600",,51-6000297,Education,"$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito  and Christine Salas
12 Intervale Road
Arlington MA 02474",
12/01/2025,12/01/2025,"LAKES REGION CONSERVATION TRUST","LAKES REGION CONSERVATION TRUST
PO BOX 766
CENTER HARBOR NH 03226-0766","Tony Halsey",02-0347918,"Environment and Animals","$2,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito and Christine Salas
12 Intervale Road
Arlington MA 02474",
12/01/2025,12/01/2025,"WOMEN FOR WOMEN INTERNATIONAL","PO BOX 9224
CENTRAL ISLIP NY 11722-9224",,52-1838756,"International Affairs","$2,000.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund
Pito and Christine Salas
12 Intervale Road
Arlington MA 02474",
11/21/2025,11/21/2025,"WIKIMEDIA FOUNDATION ORG","WIKIMEDIA FOUNDATION ORG
PO BOX 98204
WASHINGTON DC 20090-8204","GARFIELD BYRD",20-0049703,Education,"$500.00","EFT received","annually through indefinitely ",,"Where it's needed most","Iguana Fund",
11/20/2025,11/20/2025,"ACLU FOUNDATION OF MASSACHUSETTS INC","1 CENTER PLZ STE 850
BOSTON MA 02108-1887",,47-3686152,"Society Benefit","$5,000.00","EFT received","annually through indefinitely ",,"This donation is strictly for the Massachusetts ACLU organization. I don't want any of it to be sent to the USA ACLU.","Iguana Fund
Pito and Chris Salas
12 Intervale Road
Arlington MA 02474",
